"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.04.2022","278,600","266,500","289,200","266,100","255,29K","4,34%"
"20.04.2022","267,000","253,800","271,100","251,100","183,81K","5,16%"
"19.04.2022","253,900","266,300","268,800","250,200","156,91K","-4,69%"
"18.04.2022","266,400","241,300","269,100","233,800","256,27K","10,26%"
"17.04.2022","241,600","236,200","243,600","234,900","68,72K","2,24%"
"16.04.2022","236,300","239,400","239,700","228,200","70,82K","-1,38%"
"15.04.2022","239,600","229,200","240,100","228,300","82,81K","4,40%"
"14.04.2022","229,500","237,200","240,400","223,700","85,61K","-3,21%"
"13.04.2022","237,100","232,700","238,900","227,500","95,78K","2,02%"
"12.04.2022","232,400","226,400","249,800","224,700","345,66K","2,74%"
"11.04.2022","226,200","235,400","243,800","215,800","293,54K","-4,07%"
"10.04.2022","235,800","240,000","244,700","228,900","142,84K","-1,67%"
"09.04.2022","239,800","217,200","244,900","216,500","217,52K","10,41%"
"08.04.2022","217,200","226,000","227,300","215,000","91,82K","-3,85%"
"07.04.2022","225,900","213,000","228,200","213,000","116,93K","5,86%"
"06.04.2022","213,400","222,400","224,500","212,000","123,47K","-4,00%"
"05.04.2022","222,300","222,400","228,600","218,200","108,47K","0,09%"
"04.04.2022","222,100","217,400","224,200","211,500","75,28K","2,21%"
"03.04.2022","217,300","212,600","219,000","209,100","47,65K","2,21%"
"02.04.2022","212,600","218,100","222,800","212,100","81,81K","-2,66%"
"01.04.2022","218,400","212,700","222,000","208,700","87,28K","2,73%"
"31.03.2022","212,600","221,200","223,400","211,000","75,73K","-3,89%"
"30.03.2022","221,200","222,000","223,400","216,300","80,14K","-0,41%"
"29.03.2022","222,100","214,800","225,600","214,800","80,41K","3,40%"
"28.03.2022","214,800","215,600","221,600","212,700","83,94K","-0,51%"
"27.03.2022","215,900","206,900","216,000","205,200","82,31K","4,30%"
"26.03.2022","207,000","199,600","209,800","199,200","72,48K","3,71%"
"25.03.2022","199,600","203,900","204,800","198,700","85,79K","-2,01%"
"24.03.2022","203,700","197,300","204,400","193,900","85,52K","3,30%"
"23.03.2022","197,200","193,700","197,500","190,900","47,57K","1,75%"
"22.03.2022","193,800","191,400","198,000","189,600","72,62K","1,20%"
"21.03.2022","191,500","194,800","195,500","188,300","89,75K","-1,59%"
"20.03.2022","194,600","197,300","204,800","194,100","92,83K","-1,47%"
"19.03.2022","197,500","195,100","202,000","190,900","112,39K","1,23%"
"18.03.2022","195,100","187,800","196,700","185,900","17,80M","4,00%"
"17.03.2022","187,600","189,600","191,600","185,500","14,87M","-0,90%"
"16.03.2022","189,300","183,100","193,300","182,300","29,28M","3,33%"
"15.03.2022","183,200","185,800","191,300","176,800","27,25M","-1,45%"
"14.03.2022","185,900","175,800","186,400","173,800","20,49M","5,57%"
"13.03.2022","176,100","185,400","194,600","174,500","32,57M","-4,96%"
"12.03.2022","185,300","170,400","186,600","169,800","25,87M","8,62%"
"11.03.2022","170,600","178,500","178,500","166,800","23,17M","-4,48%"
"10.03.2022","178,600","188,500","192,500","165,300","38,52M","-5,20%"
"09.03.2022","188,400","202,800","207,800","185,600","81,04M","-7,28%"
"08.03.2022","203,200","157,900","207,300","157,300","60,08M","28,61%"
"07.03.2022","158,000","158,700","162,900","153,500","14,40M","-0,57%"
"06.03.2022","158,900","165,900","173,300","158,700","22,06M","-4,28%"
"05.03.2022","166,000","159,800","166,000","155,900","8,34M","3,94%"
"04.03.2022","159,700","171,900","179,300","156,100","21,07M","-7,15%"
"03.03.2022","172,000","177,700","181,200","170,600","82,67K","-3,21%"
"02.03.2022","177,700","177,800","181,100","172,800","81,82K","0,06%"
"01.03.2022","177,600","170,200","179,700","170,200","81,13K","4,23%"
"28.02.2022","170,400","150,800","170,500","148,600","99,98K","13,15%"
"27.02.2022","150,600","157,900","159,600","148,400","78,04K","-4,56%"
"26.02.2022","157,800","154,000","159,900","151,900","62,18K","2,53%"
"25.02.2022","153,900","147,300","156,100","145,200","87,36K","4,62%"
"24.02.2022","147,100","148,700","150,700","132,200","135,59K","-1,08%"
"23.02.2022","148,700","150,900","156,100","148,300","56,62K","-1,39%"
"22.02.2022","150,800","147,900","151,400","140,600","92,67K","2,03%"
"21.02.2022","147,800","153,700","161,700","147,300","107,44K","-3,84%"
"20.02.2022","153,700","161,000","161,600","151,100","62,96K","-4,59%"
"19.02.2022","161,100","160,100","165,500","158,300","75,55K","0,69%"
"18.02.2022","160,000","163,500","166,800","158,900","75,86K","-2,26%"
"17.02.2022","163,700","178,900","180,900","163,000","72,97K","-8,55%"
"16.02.2022","179,000","182,400","183,800","178,100","53,74K","-1,92%"
"15.02.2022","182,500","176,100","183,300","174,500","88,69K","3,63%"
"14.02.2022","176,100","173,900","177,200","167,900","52,01K","1,38%"
"13.02.2022","173,700","173,800","175,300","170,700","44,13K","-0,06%"
"12.02.2022","173,800","169,500","175,100","164,400","61,69K","2,60%"
"11.02.2022","169,400","179,100","181,300","166,300","72,37K","-5,47%"
"10.02.2022","179,200","186,000","187,300","177,400","79,63K","-3,66%"
"09.02.2022","186,000","178,800","186,000","175,500","71,83K","4,09%"
"08.02.2022","178,700","185,000","187,600","174,600","98,51K","-3,35%"
"07.02.2022","184,900","173,700","185,300","170,900","107,36K","6,51%"
"06.02.2022","173,600","168,500","174,200","166,400","56,72K","2,97%"
"05.02.2022","168,600","165,300","170,000","161,900","81,81K","2,00%"
"04.02.2022","165,300","146,600","165,800","146,600","132,61K","12,53%"
"03.02.2022","146,900","144,900","146,900","140,700","68,72K","1,52%"
"02.02.2022","144,700","146,000","150,200","143,900","84,73K","-0,96%"
"01.02.2022","146,100","147,000","148,200","143,400","81,97K","-0,68%"
"31.01.2022","147,100","147,700","148,000","140,600","87,61K","-0,54%"
"30.01.2022","147,900","153,600","154,800","145,700","72,13K","-3,65%"
"29.01.2022","153,500","149,000","155,600","148,800","59,53K","2,95%"
"28.01.2022","149,100","144,700","149,200","140,900","70,83K","3,11%"
"27.01.2022","144,600","148,000","149,800","139,200","111,44K","-2,36%"
